L,d_mean,d_std,d_sem,d_n,d_cov,n_mean,n_std,n_sem,n_n,n_cov
1e-08,1.562253885741478e-06,1.37243286638641e-07,4.852282932725606e-08,8,0.08784954090448781,1.514657743292335e-06,1.3281195569459807e-07,4.6956117247148797e-08,8,0.08768446619888624
1.5848931924611143e-08,4.854054475669024e-07,3.989628670982723e-08,1.4105467438340782e-08,8,0.08219167483555777,4.665288347903311e-07,4.531482065276845e-08,1.602120848591239e-08,8,0.09713187540301552
2.511886431509582e-08,2.1422618017053052e-07,2.4536763177682347e-08,8.675055815653784e-09,8,0.11453671609207773,2.047208127428076e-07,2.5473570719355438e-08,9.006267298345654e-09,8,0.12443078150221144
3.981071705534969e-08,1.0856210883026006e-07,1.941433324737359e-08,3.379601623645566e-09,33,0.1788315781312654,1.0000795982718645e-07,1.5431629015987e-08,2.6863018066809487e-09,33,0.15430400782750514
1e-07,2.06562821605792e-08,1.871344682135681e-09,6.616202573377622e-10,8,0.0905944577822909,1.985000424557486e-08,1.7417088124508357e-09,6.157870560681773e-10,8,0.08774349823321136
1.584893192461114e-07,5.2565763497398535e-09,1.5906188834168556e-09,5.623686993737165e-10,8,0.30259598217299266,4.839962863913859e-09,1.3208456874915862e-09,4.66989471263154e-10,8,0.27290409547140165
2.5118864315095823e-07,2.342546951373215e-09,7.531700587909325e-10,1.537401944649827e-10,24,0.32151759363859056,2.1150274545139257e-09,6.340934586479065e-10,1.2943378524366305e-10,24,0.29980389015500203
3.981071705534969e-07,4.254817182949978e-09,2.1736132400330002e-09,7.684883308520986e-10,8,0.5108593734046115,2.187704307356266e-09,3.8403205056706333e-10,1.3577583357447279e-10,8,0.17554111370340872
1e-06,7.956806687693614e-10,3.2333685093667546e-10,1.1431683995241355e-10,8,0.4063650954807838,7.338713692907437e-10,3.0416058720630373e-10,1.075370068916298e-10,8,0.41446035359066036
1.584893192461114e-06,5.68679236552219e-10,2.981696790458754e-10,1.0541890099877744e-10,8,0.5243196161928024,4.974997155632302e-10,2.541521684520505e-10,8.985636088285531e-11,8,0.5108589221288685
2.5118864315095823e-06,5.051717850388527e-10,3.2298739583946106e-10,1.1419328891793329e-10,8,0.6393615110840368,4.387588616780064e-10,2.735633364708669e-10,9.671924515128358e-11,8,0.6234935869434994
3.981071705534969e-06,6.579819844682984e-10,3.8849051853388803e-10,1.3735214004099517e-10,8,0.5904272878349689,5.756172959702659e-10,3.209089845785706e-10,1.1345845956959823e-10,8,0.5575040688060692
1e-05,8.114539707291626e-10,3.1323718314473275e-10,1.1074606816070652e-10,8,0.386019656621141,7.444689179706066e-10,2.8534492454374153e-10,1.0088466556102167e-10,8,0.3832865518705344
1.584893192461114e-05,5.8651243598606446e-09,6.736887451638775e-09,2.3818494005721685e-09,8,1.1486350566996066,1.4729089231281092e-09,6.796179001077847e-10,2.402812128909881e-10,8,0.461412032635689
2.5118864315095822e-05,4.6233694585211676e-10,2.369950757863986e-10,4.837641726907544e-11,24,0.5126025032449038,4.011518024158085e-10,1.987691215322487e-10,4.057357703127218e-11,24,0.4954960200483338
3.9810717055349695e-05,6.963752374624592e-10,4.3947626038349283e-10,1.553783219438363e-10,8,0.6310911657124862,6.309029806131199e-10,3.7521605374600585e-10,1.326589080069284e-10,8,0.5947286116501873
0.0001,6.539633223730185e-10,3.841675422170388e-10,1.3582373710671871e-10,8,0.5874450891573257,5.983134706764548e-10,3.475319081102895e-10,1.2287108445174292e-10,8,0.5808525549614804
0.00015848931924611142,3.733729536924571e-09,2.433309647507656e-09,4.966972518821129e-10,24,0.6517102064955526,1.1726185836332036e-09,1.2803176254084844e-09,2.6134374091188314e-10,24,1.09184490445443
0.00025118864315095795,7.3921547510201195e-09,2.461608059796955e-09,5.024736411020869e-10,24,0.3330027769585387,5.085654339889479e-09,3.138932339683621e-09,6.40731880778786e-10,24,0.6172130722812428
0.00039810717055349735,1.3597987426710606e-08,1.5959842195205668e-09,3.257789146132871e-10,24,0.11736914952469846,1.2187038888619182e-08,1.461849453936665e-09,2.983987702425876e-10,24,0.11995116018722211
0.001,1.6801753502409623e-08,2.783844213384788e-10,9.842375605256568e-11,8,0.016568771902203797,1.635841229508994e-08,2.909672419500841e-10,1.0287245494302568e-10,8,0.01778700993111779
0.001584893192461114,1.7536335087863512e-08,1.372693775325429e-10,2.801999435534962e-11,24,0.007827711824892296,1.718569479743542e-08,1.392931825637878e-10,2.8433101827468574e-11,24,0.008105181908884719
0.0025118864315095794,1.7849083429305987e-08,8.049848561312518e-11,1.8973675017429518e-11,18,0.004509950661161493,1.753340796491439e-08,7.954389070272417e-11,1.8748674839285945e-11,18,0.004536704493609983
